,old,link,Announcer,Availability,ListingSpace,LoyerNet,Charges,LoyerBrut,Street,Zip,City,Latitude,Longitude,NearestStop,TimeToNearestStop
1092,False,https://www.immoscout24.ch/fr/d/appartement-louer-renens-vd/5874597?s=1&t=1&l=2990&ct=147&ci=90&pn=4,,2020-03-03,85,1750,225,1975,Avenue de Censuy 22,1020,Renens VD,46.53158,6.58345,UNIL-Chamberonne,7.914219911008337
1094,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5874644?s=1&t=1&l=2023&ct=732&ci=183&pn=8,www.realestate.apleona.ch/fr,2020-05-01,75,1800,235,2035,Rue St-Laurent 12,1003,Lausanne,46.52239,6.63162,Lausanne-Flon,4.2570644530348245
1108,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5875768?s=1&t=1&l=2023&ct=732&ci=605&pn=26,,2020-05-01,82,-1,-1,1790,Rue du Simplon 18,1006,Lausanne,46.51593,6.6303,Lausanne-Flon,6.2913443079081
1124,False,https://www.immoscout24.ch/fr/d/appartement-louer-renens-vd/5879027?s=1&t=1&l=2990&ct=147&ci=94&pn=4,www.derham.ch,2020-05-01,73,1980,90,2070,chemin des C̫tes 66,1020,Renens VD,46.52451,6.59678,Malley,2.630051555939449
1172,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5886979?s=1&t=1&l=2023&ct=732&ci=108&pn=5,,2020-03-16,62,1460,190,1650,Chemin de Champrilly 17,1004,Lausanne,46.5309,6.60885,Provence,9.746901163614462
1205,False,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5890545?s=1&t=1&l=2918&ct=48&ci=20&pn=1,www.derham.ch,2020-04-01,84,2030,220,2250,Avenue du Galicien 9,1008,Prilly,46.52869000000001,6.6055600000000005,Provence,5.341890877688686
1231,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893250?s=1&t=1&l=2023&ct=732&ci=131&pn=6,www.realestate.apleona.ch/fr,2020-03-03,75,1520,235,1755,Ch. de Champrilly 29,1004,Lausanne,46.5303,6.6077,Provence,8.396912399346473
1234,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893521?s=1&t=1&l=2023&ct=732&ci=210&pn=9,www.derham.ch,2020-05-16,77,1940,255,2195,Avenue de S̩velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.44152300032012
1236,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893524?s=1&t=1&l=2023&ct=732&ci=219&pn=10,www.derham.ch,2020-05-01,81,1950,270,2220,Avenue de S̩velin 13 B,1004,Lausanne,46.52409,6.61368,Vigie,3.913985059979281
1243,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893911?s=1&t=1&l=2023&ct=732&ci=651&pn=28,,2020-05-15,78,-1,-1,2195,,-1,,46.52828,6.618989999999998,Vigie,5.552838886056988
1260,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5895810?s=1&t=1&l=2023&ct=732&ci=653&pn=28,,2020-03-03,80,-1,-1,2205,Avenue Louis-Ruchonnet 19,1003,Lausanne,46.5185,6.6254100000000005,Lausanne-Flon,4.02496506278243
1275,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5897337?s=1&t=1&l=2023&ct=732&ci=613&pn=26,,2020-03-03,69,-1,-1,1805,,-1,,46.52828,6.618989999999998,Vigie,5.552838886056988
1284,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5897733?s=1&t=1&l=2023&ct=732&ci=113&pn=5,www.livit.ch,2020-05-01,85,1430,240,1670,Rue du Valentin 21,1004,Lausanne,46.52433,6.63138,Lausanne-Flon,6.45858190414045
1295,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5898698?s=1&t=1&l=2023&ct=732&ci=190&pn=8,www.derham.ch,2020-04-01,82,1880,210,2090,Chemin des Rosiers 5,1004,Lausanne,46.52543,6.622910000000001,Vigie,5.375130315875607
1311,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5900217?s=1&t=1&l=2023&ct=732&ci=164&pn=7,www.lacoterelocation.ch,2020-03-03,78,-1,-1,1950,,-1,,46.52828,6.618989999999998,Vigie,5.552838886056988
1415,False,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5903971?s=1&t=1&l=2918&ct=48&ci=13&pn=1,www.derham.ch,2020-03-03,67,1460,140,1600,Avenue de la Rochelle 3,1008,Prilly,46.53172,6.60192,Provence,9.070431420130971
1454,False,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/galland-cie-254/appartement-3-pieces-36934,www.regiegalland.ch,2020-03-04,65,1680,160,1840,,-1,,46.526985,6.565464,Cerisaie,2.5432581702089934
1481,False,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rilsa-288/appartement-3-pieces-1-2-1er-etage-8239m2-385220,www.rilsa.ch,2020-03-04,82,1680,-1,1679,,-1,,46.5285002,6.6186788,Vigie,5.794616464545787
1508,False,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-385496,www.omnia.ch,2020-03-04,91,2150,-1,2149,Place de la Gare,1020,Renens,46.5302076,6.595059299999999,Malley,5.742324365837513
